DATE,CODE,SEC_NAME,EXE_MODE,EXE_PRICE,涨跌额,涨跌幅,成交量,成交额(万),持仓量,行权价,EXE_ENDDATE,持仓量,日增,昨收,今开
2018/9/5,10001330,50ETF沽12月2900,认沽,0.4183,0.0565,15.62%,259,988259,3833,2.9,2018/12/26 0:00,-105,0.3618,0.367,
2018/9/5,10001322,50ETF沽12月2500,认沽,0.13,0.0317,32.25%,1639,1868158,9546,2.5,2018/12/26 0:00,-20,0.0983,0.0991,
2018/9/5,10001314,50ETF购12月2550,认购,0.1074,-0.0236,-18.02%,1505,1770025,6151,2.55,2018/12/26 0:00,405,0.131,0.1279,
2018/9/5,10001313,50ETF购12月2500,认购,0.1295,-0.0277,-17.62%,1417,2030919,5849,2.5,2018/12/26 0:00,102,0.1572,0.1525,
2018/9/5,10001378,50ETF沽12月2300,认沽,0.0513,0.0159,44.92%,556,249825,6103,2.3,2018/12/26 0:00,124,0.0354,0.0372,
2018/9/5,10001359,50ETF购12月2400,认购,0.1836,-0.0364,-16.55%,495,979044,3577,2.4,2018/12/26 0:00,27,0.22,0.2165,
2018/9/5,10001324,50ETF沽12月2600,认沽,0.1867,0.0399,27.18%,706,1182161,3651,2.6,2018/12/26 0:00,16,0.1468,0.151,
2018/9/5,10001327,50ETF沽12月2750,认沽,0.2927,0.0494,20.30%,122,322203,4388,2.75,2018/12/26 0:00,-7,0.2433,0.2518,
2018/9/5,10001326,50ETF沽12月2700,认沽,0.255,0.0471,22.66%,525,1259576,5207,2.7,2018/12/26 0:00,-46,0.2079,0.2133,
2018/9/5,10001317,50ETF购12月2700,认购,0.0568,-0.0132,-18.86%,948,593700,13827,2.7,2018/12/26 0:00,200,0.07,0.0685,
2018/9/5,10001320,50ETF购12月2850,认购,0.0275,-0.0066,-19.35%,2601,848253,8187,2.85,2018/12/26 0:00,309,0.0341,0.0319,
2018/9/5,10001319,50ETF购12月2800,认购,0.0351,-0.009,-20.41%,1242,513885,9459,2.8,2018/12/26 0:00,257,0.0441,0.0424,
2018/9/5,10001334,50ETF沽12月2950,认沽,0.461,0.0554,13.66%,256,1086432,4722,2.95,2018/12/26 0:00,-67,0.4056,0.4108,
2018/9/5,10001315,50ETF购12月2600,认购,0.0868,-0.0199,-18.65%,1343,1312709,5823,2.6,2018/12/26 0:00,29,0.1067,0.1025,
2018/9/5,10001316,50ETF购12月2650,认购,0.0704,-0.0176,-20.00%,1064,827602,7569,2.65,2018/12/26 0:00,205,0.088,0.0846,
2018/9/5,10001333,50ETF购12月2950,认购,0.0153,-0.0044,-22.34%,2130,387516,20709,2.95,2018/12/26 0:00,496,0.0197,0.019,
