,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2018/9/5,50ETF购9月2550,认购,2.55,2018/9/26 0:00,0.0344
2018/9/5,50ETF购9月3400,认购,3.4,2018/9/26 0:00,0.0003
2018/9/5,50ETF沽9月3100,认沽,3.1,2018/9/26 0:00,0.6085
2018/9/5,50ETF购9月2650,认购,2.65,2018/9/26 0:00,0.0108
2018/9/5,50ETF购9月2900,认购,2.9,2018/9/26 0:00,0.0005
2018/9/5,50ETF购9月3100,认购,3.1,2018/9/26 0:00,0.0005
2018/9/5,50ETF购9月3300,认购,3.3,2018/9/26 0:00,0.0004
2018/9/5,50ETF沽9月2500,认沽,2.5,2018/9/26 0:00,0.065
2018/9/5,50ETF沽9月2800,认沽,2.8,2018/9/26 0:00,0.3094
2018/9/5,50ETF沽9月2950,认沽,2.95,2018/9/26 0:00,0.4576
2018/9/5,50ETF购9月2450,认购,2.45,2018/9/26 0:00,0.0792
2018/9/5,50ETF购9月2400,认购,2.4,2018/9/26 0:00,0.1128
2018/9/5,50ETF购9月3000,认购,3,2018/9/26 0:00,0.0005
2018/9/5,50ETF沽9月3500,认沽,3.5,2018/9/26 0:00,1.0049
2018/9/5,50ETF购9月2950,认购,2.95,2018/9/26 0:00,0.0006
2018/9/5,50ETF沽9月3400,认沽,3.4,2018/9/26 0:00,0.9077
2018/9/5,50ETF购9月2200,认购,2.2,2018/9/26 0:00,0.2901
2018/9/5,50ETF沽9月2400,认沽,2.4,2018/9/26 0:00,0.0251
2018/9/5,50ETF购9月2250,认购,2.25,2018/9/26 0:00,0.244
2018/9/5,50ETF购9月3200,认购,3.2,2018/9/26 0:00,0.0003
2018/9/5,50ETF购9月2800,认购,2.8,2018/9/26 0:00,0.0011
2018/9/5,50ETF沽9月3600,认沽,3.6,2018/9/26 0:00,1.106
2018/9/5,50ETF沽9月2350,认沽,2.35,2018/9/26 0:00,0.0138
2018/9/5,50ETF沽9月2250,认沽,2.25,2018/9/26 0:00,0.0039
2018/9/5,50ETF购9月2850,认购,2.85,2018/9/26 0:00,0.0008
2018/9/5,50ETF沽9月2600,认沽,2.6,2018/9/26 0:00,0.1299
2018/9/5,50ETF沽9月2300,认沽,2.3,2018/9/26 0:00,0.0072
2018/9/5,50ETF沽9月2750,认沽,2.75,2018/9/26 0:00,0.2613
2018/9/5,50ETF购9月2750,认购,2.75,2018/9/26 0:00,0.0024
2018/9/5,50ETF沽9月2550,认沽,2.55,2018/9/26 0:00,0.0951
2018/9/5,50ETF购9月2300,认购,2.3,2018/9/26 0:00,0.1941
2018/9/5,50ETF沽9月2200,认沽,2.2,2018/9/26 0:00,0.0019
2018/9/5,50ETF沽9月3200,认沽,3.2,2018/9/26 0:00,0.7074
2018/9/5,50ETF沽10月2650,认沽,2.65,2018/10/24 0:00,0.184
2018/9/5,50ETF沽10月2450,认沽,2.45,2018/10/24 0:00,0.0638
2018/9/5,50ETF沽10月2600,认沽,2.6,2018/10/24 0:00,0.1458
2018/9/5,50ETF沽10月2750,认沽,2.75,2018/10/24 0:00,0.2655
2018/9/5,50ETF购10月2500,认购,2.5,2018/10/24 0:00,0.0814
2018/9/5,50ETF沽10月2500,认沽,2.5,2018/10/24 0:00,0.0869
2018/9/5,50ETF沽10月2550,认沽,2.55,2018/10/24 0:00,0.1147
2018/9/5,50ETF沽10月2350,认沽,2.35,2018/10/24 0:00,0.031
2018/9/5,50ETF购10月2350,认购,2.35,2018/10/24 0:00,0.175
2018/9/5,50ETF购10月2400,认购,2.4,2018/10/24 0:00,0.1388
2018/9/5,50ETF沽10月2400,认沽,2.4,2018/10/24 0:00,0.0451
2018/9/5,50ETF购10月2550,认购,2.55,2018/10/24 0:00,0.0601
2018/9/5,50ETF沽10月2300,认沽,2.3,2018/10/24 0:00,0.02
2018/9/5,50ETF购10月2600,认购,2.6,2018/10/24 0:00,0.0427
2018/9/5,50ETF购10月2700,认购,2.7,2018/10/24 0:00,0.0192
2018/9/5,50ETF购10月2450,认购,2.45,2018/10/24 0:00,0.1079
2018/9/5,50ETF购10月2300,认购,2.3,2018/10/24 0:00,0.2146
