DATE,IVIX
2015/11/18,34.5489989981398
2015/11/19,33.49035101407603
2015/11/20,31.570345375221738
2015/11/23,30.747077710696402
2015/11/24,29.316598493427243
2015/11/25,29.812518509557158
2015/11/26,26.573816961824953
2015/11/27,31.707671089287327
2015/11/30,5.30062063456339
2015/12/1,31.04230619734818
2015/12/2,29.455368231255797
2015/12/3,29.819412987077726
2015/12/4,29.589157517938858
2015/12/7,28.742498650920105
2015/12/8,28.44942723266865
2015/12/9,28.16069781076576
2015/12/10,27.884643886750464
2015/12/11,27.882815267905137
2015/12/14,28.003084482470797
2015/12/15,27.514842290081315
2015/12/16,27.41921813660185
2015/12/17,26.303648310473104
2015/12/18,23.69624414296195
2015/12/21,23.88632977072384
2015/12/22,25.194361655491974
2015/12/23,24.171789274720425
